"H","7","6","5","5","5","4","4","4","3","4","3","3","3","6","5","5","4","4","3","3","4","3","6","5","4","6"
"C","3","3","2","3","3","2","1","2","1","3","2","2","1","3","2","3","2","2","2","1","1","1","3","2","1","2"
"O","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"N","1","1","1","1"," ","1","1"," ","1"," "," ","1"," ","1","1"," ","1"," "," ","1","1"," "," "," "," ","1"
"CH","1","1","2"," ","1","1","3","2","2"," ","1"," ","3"," ","1"," "," ","1"," ","1","2","2","1","2","3","2"
"CH3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"S","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"OH"," ","1","1","1","1","1","1","1","1","1","1","1","1"," "," "," "," "," "," "," "," "," "," "," "," "," "
"CH2"," "," "," ","1"," ","1"," "," ","1","1","1","2"," ","1","1","1","2","1","2","2","1","1"," "," "," "," "
"NH"," "," "," "," ","1"," "," ","1"," ","1","1"," ","1"," "," ","1"," ","1","1"," "," ","1","1","1","1"," "
